date,year,month,chirps_count,ndvi_count,lst_count,era5_count,era5_has_skinT
1981-01,1981,1,31,0,0,1,true
1981-02,1981,2,28,0,0,1,true
1981-03,1981,3,31,0,0,1,true
1981-04,1981,4,30,0,0,1,true
1981-05,1981,5,31,0,0,1,true
1981-06,1981,6,30,0,0,1,true
1981-07,1981,7,31,0,0,1,true
1981-08,1981,8,31,0,0,1,true
1981-09,1981,9,30,0,0,1,true
1981-10,1981,10,31,0,0,1,true
1981-11,1981,11,30,0,0,1,true
1981-12,1981,12,31,0,0,1,true
1982-01,1982,1,31,0,0,1,true
1982-02,1982,2,28,0,0,1,true
1982-03,1982,3,31,0,0,1,true
1982-04,1982,4,30,0,0,1,true
1982-05,1982,5,31,0,0,1,true
1982-06,1982,6,30,0,0,1,true
1982-07,1982,7,31,0,0,1,true
1982-08,1982,8,31,0,0,1,true
1982-09,1982,9,30,0,0,1,true
1982-10,1982,10,31,0,0,1,true
1982-11,1982,11,30,0,0,1,true
1982-12,1982,12,31,0,0,1,true
1983-01,1983,1,31,0,0,1,true
1983-02,1983,2,28,0,0,1,true
1983-03,1983,3,31,0,0,1,true
1983-04,1983,4,30,0,0,1,true
1983-05,1983,5,31,0,0,1,true
1983-06,1983,6,30,0,0,1,true
1983-07,1983,7,31,0,0,1,true
1983-08,1983,8,31,0,0,1,true
1983-09,1983,9,30,0,0,1,true
1983-10,1983,10,31,0,0,1,true
1983-11,1983,11,30,0,0,1,true
1983-12,1983,12,31,0,0,1,true
1984-01,1984,1,31,0,0,1,true
1984-02,1984,2,29,0,0,1,true
1984-03,1984,3,31,0,0,1,true
1984-04,1984,4,30,0,0,1,true
1984-05,1984,5,31,0,0,1,true
1984-06,1984,6,30,0,0,1,true
1984-07,1984,7,31,0,0,1,true
1984-08,1984,8,31,0,0,1,true
1984-09,1984,9,30,0,0,1,true
1984-10,1984,10,31,0,0,1,true
1984-11,1984,11,30,0,0,1,true
1984-12,1984,12,31,0,0,1,true
1985-01,1985,1,31,0,0,1,true
1985-02,1985,2,28,0,0,1,true
1985-03,1985,3,31,0,0,1,true
1985-04,1985,4,30,0,0,1,true
1985-05,1985,5,31,0,0,1,true
1985-06,1985,6,30,0,0,1,true
1985-07,1985,7,31,0,0,1,true
1985-08,1985,8,31,0,0,1,true
1985-09,1985,9,30,0,0,1,true
1985-10,1985,10,31,0,0,1,true
1985-11,1985,11,30,0,0,1,true
1985-12,1985,12,31,0,0,1,true
1986-01,1986,1,31,0,0,1,true
1986-02,1986,2,28,0,0,1,true
1986-03,1986,3,31,0,0,1,true
1986-04,1986,4,30,0,0,1,true
1986-05,1986,5,31,0,0,1,true
1986-06,1986,6,30,0,0,1,true
1986-07,1986,7,31,0,0,1,true
1986-08,1986,8,31,0,0,1,true
1986-09,1986,9,30,0,0,1,true
1986-10,1986,10,31,0,0,1,true
1986-11,1986,11,30,0,0,1,true
1986-12,1986,12,31,0,0,1,true
1987-01,1987,1,31,0,0,1,true
1987-02,1987,2,28,0,0,1,true
1987-03,1987,3,31,0,0,1,true
1987-04,1987,4,30,0,0,1,true
1987-05,1987,5,31,0,0,1,true
1987-06,1987,6,30,0,0,1,true
1987-07,1987,7,31,0,0,1,true
1987-08,1987,8,31,0,0,1,true
1987-09,1987,9,30,0,0,1,true
1987-10,1987,10,31,0,0,1,true
