year,month,nao,nino34,amo
1948,1,,,-0.021
1948,2,,,-0.034
1948,3,,,0.022
1948,4,,,-0.076
1948,5,,,-0.01
1948,6,,,0.049
1948,7,,,-0.046
1948,8,,,-0.029
1948,9,,,-0.059
1948,10,,,0.001
1948,11,,,0.128
1948,12,,,0.056
1949,1,,,0.147
1949,2,,,0.154
1949,3,,,0.032
1949,4,,,0.092
1949,5,,,-0.03
1949,6,,,-0.005
1949,7,,,0.065
1949,8,,,0.096
1949,9,,,0.064
1949,10,,,0.098
1949,11,,,0.102
1949,12,,,0.112
1950,1,0.56,24.55,0.105
1950,2,0.01,25.06,-0.04
1950,3,-0.78,25.87,-0.112
1950,4,0.65,26.28,-0.137
1950,5,-0.5,26.18,-0.065
1950,6,0.25,26.46,-0.049
1950,7,-1.23,26.29,-0.062
1950,8,-0.19,25.88,0.014
1950,9,0.39,25.74,0.003
1950,10,1.43,25.69,-0.097
1950,11,-1.46,25.47,0.073
1950,12,-1.03,25.29,0.082
1951,1,-0.42,25.24,0.096
1951,2,0.35,25.71,-0.008
1951,3,-1.47,26.9,0.006
1951,4,-0.38,27.58,0.162
1951,5,-0.5,27.92,0.166
1951,6,-1.35,27.73,0.283
1951,7,1.39,27.6,0.415
1951,8,-0.41,27.02,0.297
1951,9,-1.18,27.23,0.243
1951,10,2.54,27.2,0.252
1951,11,-0.54,27.25,0.168
1951,12,1.13,26.91,0.168
1952,1,0.57,26.67,0.165
1952,2,-1.38,26.74,0.176
1952,3,-1.97,27.17,0.224
1952,4,0.95,27.8,0.184
1952,5,-0.99,27.79,0.174
1952,6,-0.1,27.18,0.376
1952,7,-0.06,26.53,0.366
1952,8,-0.49,26.3,0.397
1952,9,-0.38,26.36,0.355
1952,10,-0.28,26.26,0.348
1952,11,-1.32,25.92,0.244
1952,12,-0.49,26.21,0.334
1953,1,-0.12,26.74,0.258
1953,2,-1.0,27.0,0.178
1953,3,-0.45,27.57,0.134
1953,4,-1.96,28.04,0.306
1953,5,-0.56,28.28,0.335
1953,6,1.41,28.12,0.268
1953,7,0.43,27.43,0.337
1953,8,-1.04,26.94,0.251
1953,9,-0.19,27.01,0.273
1953,10,1.95,26.87,0.141
1953,11,0.96,26.88,0.237
1953,12,-0.52,27.0,0.251
1954,1,-0.08,26.98,0.22
1954,2,0.4,27.03,0.088
1954,3,-1.27,26.9,0.093
1954,4,1.31,26.64,-0.021
1954,5,-0.03,27.12,0.062
1954,6,0.06,26.8,0.092
1954,7,-0.57,26.11,-0.052
1954,8,-2.57,25.43,-0.022
1954,9,-0.28,25.12,-0.018
1954,10,1.16,25.23,-0.04
1954,11,0.29,25.57,-0.034
1954,12,0.55,25.26,-0.059
1955,1,-2.65,25.61,0.068
1955,2,-1.71,25.81,0.033
1955,3,-0.96,26.22,0.034
1955,4,-0.6,26.6,0.088
1955,5,-0.26,26.66,0.169
1955,6,-0.8,26.55,0.186
1955,7,1.78,26.15,0.261
1955,8,1.25,25.51,0.167
1955,9,0.46,25.28,0.195
1955,10,-1.09,24.41,0.271
1955,11,-1.49,24.25,0.378
1955,12,0.07,24.57,0.249
1956,1,-0.76,25.34,0.179
1956,2,-1.71,25.76,0.087
1956,3,-0.46,26.46,0.006
1956,4,-1.3,26.85,0.056
1956,5,2.1,27.13,-0.066
1956,6,0.41,26.81,-0.272
1956,7,-0.72,26.23,-0.098
1956,8,-1.89,25.68,-0.106
1956,9,0.38,25.73,-0.097
1956,10,1.47,25.75,-0.051
1956,11,0.4,25.56,-0.095
1956,12,0.0,25.71,0.011
1957,1,0.71,26.04,-0.089
1957,2,-0.32,26.54,-0.114
1957,3,-1.73,27.46,-0.027
1957,4,0.39,28.23,-0.082
1957,5,-0.68,28.55,-0.129
1957,6,-0.42,28.36,-0.02
1957,7,-1.16,28.17,0.032
1957,8,-0.83,27.69,0.194
1957,9,-1.47,27.44,0.213
1957,10,1.95,27.42,0.141
1957,11,0.63,27.62,0.076
1957,12,0.02,27.9,0.071
1958,1,-1.14,28.33,0.04
1958,2,-1.64,28.24,0.18
1958,3,-2.46,28.27,0.336
1958,4,0.26,28.27,0.338
1958,5,-0.17,28.31,0.193
1958,6,-1.08,27.99,0.213
1958,7,-1.69,27.32,0.156
1958,8,-2.13,26.85,0.152
1958,9,0.08,26.4,0.204
1958,10,0.68,26.45,0.143
1958,11,1.59,26.75,0.176
1958,12,-0.74,26.62,0.211
1959,1,-1.52,27.07,0.091
1959,2,0.33,27.18,0.106
1959,3,-0.56,27.47,-0.036
1959,4,0.25,27.88,-0.013
1959,5,0.41,27.7,-0.002
1959,6,0.71,27.37,-0.068
1959,7,0.77,26.44,-0.041
1959,8,-0.05,26.09,0.003
1959,9,1.0,25.92,0.116
1959,10,1.48,26.24,0.103
1959,11,0.3,26.04,0.042
1959,12,0.32,26.18,0.1
1960,1,-2.01,26.27,0.167
1960,2,-2.59,26.29,0.207
1960,3,-0.93,26.98,0.079
1960,4,1.33,27.49,0.088
1960,5,0.47,27.68,0.293
1960,6,0.1,27.24,0.31
1960,7,0.38,26.88,0.261
1960,8,-1.93,26.7,0.326
1960,9,0.53,26.44,0.201
1960,10,-1.37,26.22,0.287
1960,11,-0.67,26.26,0.241
1960,12,-0.03,26.22,0.128
1961,1,-0.03,26.23,0.051
1961,2,0.07,26.56,0.071
1961,3,0.17,26.94,0.139
1961,4,-1.83,27.36,0.217
1961,5,-0.28,27.75,0.184
1961,6,1.17,27.67,0.023
1961,7,-0.36,26.89,-0.029
1961,8,1.03,26.19,0.026
1961,9,1.36,25.78,-0.007
1961,10,1.07,25.71,0.019
1961,11,-0.79,26.07,0.057
1961,12,-1.46,25.97,0.203
1962,1,0.2,25.96,0.139
1962,2,0.18,26.19,0.142
1962,3,-2.99,26.8,0.155
1962,4,0.93,27.13,0.077
1962,5,-0.04,27.05,0.013
1962,6,0.47,27.08,-0.081
1962,7,-2.43,26.76,-0.018
1962,8,0.05,26.33,-0.073
1962,9,-0.21,25.94,-0.006
1962,10,0.96,25.97,0.055
1962,11,-0.38,25.75,0.036
1962,12,-1.31,25.67,0.18
1963,1,-2.98,25.77,0.147
1963,2,-1.53,26.22,0.155
1963,3,-0.85,27.18,0.123
1963,4,-1.61,27.78,0.093
1963,5,2.05,27.63,-0.095
1963,6,-0.13,27.62,-0.058
1963,7,-0.74,27.78,-0.046
1963,8,-0.95,27.48,-0.084
1963,9,1.89,27.4,-0.213
1963,10,1.53,27.36,-0.082
1963,11,-1.47,27.47,-0.068
1963,12,-1.87,27.62,-0.071
1964,1,-1.62,27.34,-0.086
1964,2,-2.06,27.13,0.01
1964,3,-1.66,27.02,0.028
1964,4,0.25,26.95,-0.157
1964,5,0.53,26.82,0.03
1964,6,1.61,26.59,-0.007
1964,7,1.92,26.33,-0.155
1964,8,-2.4,25.6,-0.245
1964,9,0.34,25.32,-0.231
1964,10,1.32,25.37,-0.282
1964,11,-0.14,25.26,-0.177
1964,12,-0.23,25.23,-0.132
1965,1,-0.65,25.66,-0.21
1965,2,-2.2,26.19,-0.188
1965,3,-1.99,26.94,-0.089
1965,4,0.64,27.38,-0.108
1965,5,-0.52,27.99,-0.11
1965,6,0.6,28.09,-0.138
1965,7,0.35,27.9,-0.199
1965,8,0.45,27.97,-0.221
1965,9,0.51,28.01,-0.233
1965,10,0.92,28.17,-0.259
1965,11,-1.88,28.12,-0.288
1965,12,1.18,27.96,-0.135
1966,1,-2.54,27.67,-0.087
1966,2,-2.02,27.55,-0.001
1966,3,0.18,28.21,-0.021
1966,4,-0.96,28.16,0.032
1966,5,0.25,27.55,-0.01
1966,6,1.37,27.64,-0.057
1966,7,0.35,27.33,-0.067
1966,8,-2.39,26.48,-0.055
1966,9,-0.29,26.27,-0.012
1966,10,-0.23,26.22,0.002
1966,11,-0.18,26.23,-0.009
1966,12,0.58,26.03,0.068
